Reference, Quantity, Value, Footprint, Datasheet, Digikey
BT1 ,1,"RJD3032HPPV30M","Pin_Headers:Pin_Header_Straight_1x02_Pitch1.27mm","","1572-1623-ND"
C1 C2 ,2,"12.5pF","Capacitors_SMD:C_0603",""
C17 C18 C19 C21 C24 C7 ,6,"1uF","Capacitors_SMD:C_0603",""
C12 C25 C6 ,3,"10uF","Capacitors_SMD:C_0805",""
C3 C4 ,2,"18pF","Capacitors_SMD:C_0603",""
C8 ,1,"2.2uF","Capacitors_SMD:C_0603",""
C10 C11 C13 C14 C15 C16 C20 C26 C9 ,9,"100nF","Capacitors_SMD:C_0603",""
D3 ,1,"BAT54","TO_SOT_Packages_SMD:SOT-23",""
D1 D2 D4 ,3,"LED","LEDs:LED_0603",""
FP1 ,1,"BM71BLES1FC2","prusto_watch:BM71BLES1FC2",""
J1 ,1,"USB_microB_2040002-1","prusto_watch:USB_microB_2040002-1","","TODO"
J2 ,1,"Conn_02x05_Odd_Even","Pin_Headers:Pin_Header_Straight_2x05_Pitch1.27mm",""
J3 ,1,"Vibration Motor","Pin_Headers:Pin_Header_Straight_1x02_Pitch1.27mm",""
J4 ,1,"Conn_01x06","Pin_Headers:Pin_Header_Straight_2x03_Pitch1.27mm",""
J5 ,1,"Conn_01x08","Pin_Headers:Pin_Header_Straight_2x04_Pitch1.27mm",""
J6 ,1,"Conn_02x03_Odd_Even","Pin_Headers:Pin_Header_Straight_2x03_Pitch1.27mm",""
Q3 ,1,"RUM002N02T2L","prusto_watch:VMT3",""
R13 R6 ,2,"100K","Resistors_SMD:R_0603",""
R14 ,1,"4.75K","Resistors_SMD:R_0603",""
R1 R15 R4 ,3,"1K","Resistors_SMD:R_0603",""
R16 ,1,"10K","Resistors_SMD:R_0603",""
R2 ,1,"715","Resistors_SMD:R_0603",""
R5 ,1,"301K","Resistors_SMD:R_0603",""
SW2 ,1,"SW_Push","prusto_watch:PTS820_J15M_SMTR_LFS",""
U1 ,1,"STM32F303RCT6-48","Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm","","497-15198-ND"
U2 ,1,"LTC4063","Housings_DFN_QFN:DFN-10-1EP_3x3mm_Pitch0.5mm",""
U3 ,1,"LIS3DETR","prusto_watch:16-LGA_(3x3)",""
U5 ,1,"TPS60241DGKR","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm","","TODO"
U7 ,1,"RT9818A-18GV","TO_SOT_Packages_SMD:SOT-23",""
U8 ,1,"WM1389CT-ND","prusto_watch:Molex_FPC_5034801000",""
Y1 ,1,"ECS.327","prusto_watch:ECX-31B",""
Y2 ,1,"FA-238","Crystals:Crystal_SMD_SeikoEpson_FA238V-4pin_3.2x2.5mm",""